"source_league_name";"source_country";"source_league_id";"player_id";"player_name";"firstname";"lastname";"age";"birth_date";"birth_place";"birth_country";"nationality";"height";"weight";"injured";"photo";"team_id";"team_name";"team_logo";"league_id";"league_name_api";"league_country";"league_logo";"league_flag";"season";"games_appearences";"games_lineups";"games_minutes";"games_number";"games_position";"games_rating";"games_captain";"substitutes_in";"substitutes_out";"substitutes_bench";"shots_total";"shots_on";"goals_total";"goals_conceded";"goals_assists";"goals_saves";"passes_total";"passes_key";"passes_accuracy";"tackles_total";"tackles_blocks";"tackles_interceptions";"duels_total";"duels_won";"dribbles_attempts";"dribbles_success";"dribbles_past";"fouls_drawn";"fouls_committed";"cards_yellow";"cards_yellowred";"cards_red";"penalty_won";"penalty_commited";"penalty_scored";"penalty_missed";"penalty_saved";"goals_per90";"assists_per90";"shots_per90";"shots_on_per90";"key_passes_per90";"passes_per90";"tackles_per90";"interceptions_per90";"duels_total_per90";"duels_won_per90";"dribbles_attempts_per90";"dribbles_success_per90";"fouls_drawn_per90";"fouls_committed_per90"
"Championship";"England";40;444382;"C. Edwards";"Callum Steven";"Edwards";19;"2006-06-22";"Liverpool";"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/444382.png";1837;"Wrexham";"https://media.api-sports.io/football/teams/1837.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;503662;"A. Moore";"Alexander James";"Moore";19;"2006-09-18";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/503662.png";1837;"Wrexham";"https://media.api-sports.io/football/teams/1837.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;284191;"H. Leonard";"Harry Paul";"Leonard";22;"2003-09-12";NA;"England";"England";"184";NA;FALSE;"https://media.api-sports.io/football/players/284191.png";67;"Blackburn";"https://media.api-sports.io/football/teams/67.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;287916;"R. van den Berg";"Rav";"van den Berg";21;"2004-07-07";NA;"Netherlands";"Netherlands";"190";"75";FALSE;"https://media.api-sports.io/football/players/287916.png";70;"Middlesbrough";"https://media.api-sports.io/football/teams/70.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;3;3;161;NA;"Defender";6,75;FALSE;0;NA;NA;NA;NA;NA;0;0;NA;68;NA;NA;1;2;NA;9;6;NA;NA;NA;1;NA;0;NA;0;NA;NA;0;0;NA;NA;0;NA;NA;NA;38,0124223602485;0,559006211180124;NA;5,03105590062112;3,35403726708075;NA;NA;0,559006211180124;NA
"Championship";"England";40;327419;"M. Ferdinan";"Marselino";"Ferdinan Philipus";21;"2004-09-09";"Jakarta";"Indonesia";"Indonesia";"178";"67";FALSE;"https://media.api-sports.io/football/players/327419.png";1338;"Oxford United";"https://media.api-sports.io/football/teams/1338.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;330316;"N. Bassette";"Norman Jaquy";"Bassette Van Acker";21;"2004-11-09";"Arlon";"Belgium";"Belgium";"186";"74";FALSE;"https://media.api-sports.io/football/players/330316.png";1346;"Coventry";"https://media.api-sports.io/football/teams/1346.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;2;2;115;NA;"Attacker";6,2;FALSE;0;NA;NA;NA;NA;NA;0;0;NA;9;1;NA;1;NA;NA;20;5;NA;NA;NA;1;6;2;NA;0;NA;NA;0;0;NA;NA;0;NA;NA;0,782608695652174;7,04347826086957;0,782608695652174;NA;15,6521739130435;3,91304347826087;NA;NA;0,782608695652174;4,69565217391304
"Championship";"England";40;356419;"T. Campbell";"Tyreece";"Campbell";22;"2003-09-14";NA;"England";"England";"178";NA;FALSE;"https://media.api-sports.io/football/players/356419.png";1335;"Charlton";"https://media.api-sports.io/football/teams/1335.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;373596;"M. Polendakov";"Mihail";"Yordanov Polendakov";18;"2007-06-05";NA;"Bulgaria";"Bulgaria";NA;NA;FALSE;"https://media.api-sports.io/football/players/373596.png";62;"Sheffield Utd";"https://media.api-sports.io/football/teams/62.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Defender";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;445921;"Micah Mbick";"Micah";"Mbick";19;"2006-11-08";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/445921.png";1335;"Charlton";"https://media.api-sports.io/football/teams/1335.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;459341;"Z. Betteka";"Zaid";"Betteka";18;"2007-02-07";NA;"England";"England";"180";NA;FALSE;"https://media.api-sports.io/football/players/459341.png";54;"Birmingham";"https://media.api-sports.io/football/teams/54.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Attacker";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;459401;"Jack Phillips";"Jack";"Phillips";20;"2005-10-15";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/459401.png";74;"Sheffield Wednesday";"https://media.api-sports.io/football/teams/74.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Goalkeeper";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;278123;"S. Revan";"Sebastian";"Revan";22;"2003-07-14";NA;"England";"England";"181";NA;FALSE;"https://media.api-sports.io/football/players/278123.png";1837;"Wrexham";"https://media.api-sports.io/football/teams/1837.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;330986;"M. Golding";"Michael Heinz";"Golding";19;"2006-05-23";"Kingston";"England";"England";"178";"73";FALSE;"https://media.api-sports.io/football/players/330986.png";46;"Leicester";"https://media.api-sports.io/football/teams/46.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;336599;"Benicio Baker-Boaitey";"Benicio";"Baker-Boaitey";21;"2004-01-09";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/336599.png";58;"Millwall";"https://media.api-sports.io/football/teams/58.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;NA;NA;NA;NA;"Midfielder";NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;395809;"J. Sanda";"Joachim";"Kayi Sanda";19;"2006-11-29";"Antony";"France";"France";"186";"76";FALSE;"https://media.api-sports.io/football/players/395809.png";41;"Southampton";"https://media.api-sports.io/football/teams/41.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;3;2;91;NA;"Defender";7,3;FALSE;1;NA;NA;NA;NA;NA;0;0;NA;85;NA;77;2;1;1;6;2;NA;NA;NA;NA;2;0;NA;0;NA;NA;0;0;NA;NA;0;NA;NA;NA;84,0659340659341;1,97802197802198;0,989010989010989;5,93406593406593;1,97802197802198;NA;NA;NA;1,97802197802198
"Championship";"England";40;339757;"J. Beadle";"James";"Giles Beadle";21;"2004-07-16";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/339757.png";54;"Birmingham";"https://media.api-sports.io/football/teams/54.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;25;25;2250;25;"Goalkeeper";6,6;FALSE;0;0;8;1;NA;0;32;0;67;937;NA;NA;NA;NA;NA;15;12;NA;NA;NA;3;1;3;0;0;NA;NA;0;0;0;0;0;0,04;NA;NA;37,48;NA;NA;0,6;0,48;NA;NA;0,12;0,04
"Championship";"England";40;326763;"C. Humphreys";"Cameron";"Humphreys";22;"2003-10-30";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/326763.png";57;"Ipswich";"https://media.api-sports.io/football/teams/57.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;3;0;27;30;"Midfielder";6,5;FALSE;3;0;6;NA;NA;0;0;0;NA;12;NA;NA;1;NA;1;2;1;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;NA;0;0;NA;NA;NA;40;3,33333333333333;3,33333333333333;6,66666666666667;3,33333333333333;NA;NA;NA;NA
"Championship";"England";40;441035;"Finley Frank Barbrook";"Finley Frank";"Barbrook";21;"2004-12-04";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/441035.png";57;"Ipswich";"https://media.api-sports.io/football/teams/57.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;0;0;NA;35;"Midfielder";NA;FALSE;0;0;1;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;153626;"R. Borges Rodrigues";"Raphael";"Borges Rodrigues";22;"2003-09-11";"Maastricht";"Australia";"Australia";"173";"70";FALSE;"https://media.api-sports.io/football/players/153626.png";1346;"Coventry";"https://media.api-sports.io/football/teams/1346.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;2;0;36;17;"Attacker";6,9;FALSE;2;0;4;NA;NA;0;0;1;NA;10;3;NA;1;NA;NA;7;2;2;NA;NA;1;2;0;0;0;NA;NA;0;0;NA;0;2,5;NA;NA;7,5;25;2,5;NA;17,5;5;5;NA;2,5;5
"Championship";"England";40;284441;"A. Kamara";"Abu";"Kamara";22;"2003-07-21";NA;"England";"England";"186";"81";FALSE;"https://media.api-sports.io/football/players/284441.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;2;1;104;17;"Attacker";6,5;FALSE;1;1;1;1;1;0;0;0;NA;21;2;NA;2;NA;NA;10;4;3;NA;NA;1;NA;0;0;0;NA;NA;0;0;NA;0;0;0,865384615384615;0,865384615384615;1,73076923076923;18,1730769230769;1,73076923076923;NA;8,65384615384616;3,46153846153846;2,59615384615385;NA;0,865384615384615;NA
"Championship";"England";40;328096;"Joel Tshisanga Ndala";"Joel";"Tshisanga Ndala";19;"2006-05-31";"Manchester";"England";"England";"178";NA;FALSE;"https://media.api-sports.io/football/players/328096.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;17;10;788;19;"Attacker";6,51;FALSE;7;10;15;6;3;1;0;0;NA;135;3;NA;14;NA;6;121;45;33;14;NA;16;11;1;0;0;NA;NA;0;0;NA;0,114213197969543;0;0,685279187817259;0,342639593908629;0,342639593908629;15,4187817258883;1,5989847715736;0,685279187817259;13,8197969543147;5,13959390862944;3,76903553299492;1,5989847715736;1,82741116751269;1,25634517766497
"Championship";"England";40;328096;"Joel Tshisanga Ndala";"Joel";"Tshisanga Ndala";19;"2006-05-31";"Manchester";"England";"England";"178";NA;FALSE;"https://media.api-sports.io/football/players/328096.png";74;"Sheffield Wednesday";"https://media.api-sports.io/football/teams/74.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;6;3;288;21;"Midfielder";6,33;FALSE;3;1;3;NA;NA;0;0;0;NA;58;2;NA;3;NA;1;46;21;20;9;NA;8;5;0;0;0;NA;NA;0;0;NA;0;0;NA;NA;0,625;18,125;0,9375;0,3125;14,375;6,5625;6,25;2,8125;2,5;1,5625
"Championship";"England";40;331551;"C. Hughes";"Charlie";"Hughes";22;"2003-10-16";NA;"England";"England";"185";"80";FALSE;"https://media.api-sports.io/football/players/331551.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;33;32;2925;4;"Defender";7,15;FALSE;1;0;3;12;5;1;0;1;NA;1510;10;NA;45;54;38;274;166;14;8;NA;21;37;4;0;0;NA;1;0;0;NA;0,0307692307692308;0,0307692307692308;0,369230769230769;0,153846153846154;0,307692307692308;46,4615384615385;1,38461538461538;1,16923076923077;8,43076923076923;5,10769230769231;0,430769230769231;0,246153846153846;0,646153846153846;1,13846153846154
"Championship";"England";40;416190;"P. Brown";"Pharell";"Brown";20;"2005-08-31";NA;"England";"England";NA;NA;FALSE;"https://media.api-sports.io/football/players/416190.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;0;0;NA;40;"Midfielder";NA;FALSE;0;0;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;442926;"Nathan Tinsdale";"Nathan";"Tinsdale";21;"2004-12-20";NA;"England";"England";"178";"66";FALSE;"https://media.api-sports.io/football/players/442926.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;1;0;11;47;"Midfielder";6,7;FALSE;1;0;1;NA;NA;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;NA;0;0;NA;NA;NA;8,18181818181818;NA;NA;NA;NA;NA;NA;NA;NA
"Championship";"England";40;467176;"C. McCarthy";"Cathal";"McCarthy";19;"2006-08-31";NA;"Republic of Ireland";"Republic of Ireland";NA;NA;FALSE;"https://media.api-sports.io/football/players/467176.png";64;"Hull City";"https://media.api-sports.io/football/teams/64.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;6;1;229;58;"Defender";6,55;FALSE;5;0;28;NA;NA;0;0;0;NA;84;NA;NA;6;3;5;39;19;2;2;NA;3;5;1;0;0;NA;NA;0;0;NA;0;0;NA;NA;NA;33,0131004366812;2,35807860262009;1,96506550218341;15,3275109170306;7,46724890829694;0,786026200873362;0,786026200873362;1,17903930131004;1,96506550218341
"Championship";"England";40;159420;"R. Edwards";"Ronnie";"Lee Edwards";22;"2003-03-28";"Harlow";"England";"England";"180";"76";FALSE;"https://media.api-sports.io/football/players/159420.png";41;"Southampton";"https://media.api-sports.io/football/teams/41.png";40;"Championship";"England";"https://media.api-sports.io/football/leagues/40.png";"https://media.api-sports.io/flags/gb-eng.svg";2025;11;8;677;12;"Defender";6,65;FALSE;3;3;12;3;1;0;0;0;NA;524;2;45;8;2;4;50;27;1;NA;NA;4;4;0;0;0;NA;1;0;0;NA;0;0;0,398818316100443;0,132939438700148;0,265878877400295;69,6602658788774;1,06351550960118;0,531757754800591;6,64697193500739;3,58936484490399;0,132939438700148;NA;0,531757754800591;0,531757754800591
